@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
135,'2018/02/15 14:33:37:785',12,0,0,0,64,1024,-9.6,61.599998,1023.733337,16,?,?,0,?,?
136,'2018/02/15 14:33:37:889',12,0,0,0,64,1024,-9.866667,63.200001,1023.733337,16,?,?,0,?,?
137,'2018/02/15 14:33:37:994',12,0,0,-16,48,1024,-11.2,62.400002,1024.533325,16,?,?,0,?,?
138,'2018/02/15 14:33:38:098',12,0,0,0,64,1024,-12.266666,62.133335,1024,16,?,?,0,?,?
139,'2018/02/15 14:33:38:203',12,0,0,0,64,1024,-10.4,61.866665,1024.800049,16,?,?,0,?,?
140,'2018/02/15 14:33:38:307',12,0,0,-16,64,1024,-9.066667,61.866665,1025.599976,16,?,?,0,?,?
141,'2018/02/15 14:33:38:412',12,0,0,-16,64,1024,-9.066667,62.933334,1024.800049,16,?,?,0,?,?
142,'2018/02/15 14:34:08:609',13,0,0,880,-48,-1760,448.799988,-20.799999,950.666687,1024,?,?,?,?,?
143,'2018/02/15 14:34:08:713',13,0,0,816,256,720,690.133362,-43.466667,403.466675,1024,?,?,?,?,?
144,'2018/02/15 14:34:08:818',13,0,0,896,-160,736,824.266663,-5.6,336.266663,1024,?,?,?,?,?
145,'2018/02/15 14:34:08:923',13,0,0,432,-32,1216,747.733337,-17.066668,185.866669,800,?,?,?,?,?
146,'2018/02/15 14:34:09:027',13,0,0,288,224,2032,753.599976,9.333333,758.93335,416,?,?,?,?,?
147,'2018/02/15 14:34:09:131',13,0,0,960,128,64,823.733337,-40.266666,493.066681,640,?,?,?,?,?
148,'2018/02/15 14:34:09:236',13,0,0,1008,-128,560,849.06665,46.933334,426.933319,640,?,?,?,?,?
149,'2018/02/15 14:34:09:340',13,0,0,432,0,1024,851.466675,70.133331,388.533325,640,?,?,?,?,?
150,'2018/02/15 14:34:09:444',13,0,0,928,96,288,819.466675,36,456.799988,288,?,?,?,?,?
151,'2018/02/15 14:34:09:549',13,0,0,1088,32,-1184,795.200012,56.799999,617.866638,880,?,?,?,?,?
152,'2018/02/15 14:34:09:654',13,0,0,816,192,528,870.133362,117.599998,467.733337,880,?,?,?,?,?
153,'2018/02/15 14:34:09:759',13,0,0,672,-160,704,921.866638,121.333336,346.133331,880,?,?,?,?,?
154,'2018/02/15 14:34:09:863',13,0,0,64,-80,960,752.266663,38.133335,318.666656,400,?,?,?,?,?
